rank,title,year,tmdb_id,notes
375,Heaven's Gate,1980,,"source rank 375; Cimino, Michael; Western-Drama-History; USA"
376,The Killing of a Chinese Bookie,1976,,"source rank 376; Cassavetes, John; Drama-Crime; USA"
381,Marnie,1964,,"source rank 381; Hitchcock, Alfred; Crime-Drama-Mystery; USA"
382,This is Spinal Tap,1984,,"source rank 382; Reiner, Rob; Comedy-Music; USA"
384,Two-Lane Blacktop,1971,,"source rank 384; Hellman, Monte; Drama; USA"
386,An Affair to Remember,1957,,"source rank 386; McCarey, Leo; Romance-Drama; USA"
388,Lost Highway,1997,,"source rank 388; Lynch, David; Mystery-Drama-Thriller; USA-France"
390,Stranger Than Paradise,1984,,"source rank 390; Jarmusch, Jim; Comedy-Drama; USA-West Germany"
398,The Long Goodbye,1973,,"source rank 398; Altman, Robert; Drama-Crime-Mystery; USA"
404,Fantasia,1940,,source rank 404; Various Directors; Fantasy-Family-Animation; USA
408,The Birth of a Nation,1915,,"source rank 408; Griffith, D.W.; War-History-Drama; USA"
409,Dawn of the Dead,1978,,"source rank 409; Romero, George A.; Horror-Action; USA"
410,Crimes and Misdemeanors,1989,,"source rank 410; Allen, Woody; Drama-Comedy; USA"
415,Lost in Translation,2003,,"source rank 415; Coppola, Sofia; Romance-Drama-Comedy; USA-Japan"
418,Snow White and the Seven Dwarfs,1937,,"source rank 418; Hand, David; Animation-Family-Fantasy; USA"
420,Splendor in the Grass,1961,,"source rank 420; Kazan, Elia; Drama-Romance; USA"
425,Network,1976,,"source rank 425; Lumet, Sidney; Drama; USA"
429,The Awful Truth,1937,,"source rank 429; McCarey, Leo; Romance-Comedy; USA"
431,Chelsea Girls,1966,,"source rank 431; Warhol, Andy; Drama-Avant-Garde; USA"
432,Bride of Frankenstein,1935,,"source rank 432; Whale, James; Horror-Science Fiction; USA"
433,A.I. Artificial Intelligence,2001,,"source rank 433; Spielberg, Steven; Science Fiction-Drama; USA"
437,Casino,1995,,"source rank 437; Scorsese, Martin; Drama-Crime; USA"
439,No Country for Old Men,2007,,"source rank 439; Coen, Joel & Ethan Coen; Crime-Drama-Thriller; USA"
440,Phantom Thread,2017,,"source rank 440; Anderson, Paul Thomas; Drama-Romance; USA-China"
442,A Star is Born,1954,,"source rank 442; Cukor, George; Musical-Drama; USA"
446,Carrie,1976,,"source rank 446; De Palma, Brian; Horror-Thriller; USA"
447,Boogie Nights,1997,,"source rank 447; Anderson, Paul Thomas; Drama; USA"
449,The Shawshank Redemption,1994,,"source rank 449; Darabont, Frank; Prison-Drama; USA"
454,Limelight,1952,,"source rank 454; Chaplin, Charles; Drama-Comedy; USA"
455,The Cameraman,1928,,"source rank 455; Keaton, Buster & Edward Sedgwick; Romance-Comedy; USA"
456,The Scarlet Empress,1934,,"source rank 456; von Sternberg, Josef; History-Drama-Biography; USA"
458,The Wind,1928,,"source rank 458; Sjöström, Victor; Drama; USA"
466,Pan's Labyrinth,2006,,"source rank 466; del Toro, Guillermo; Drama-Fantasy-Thriller; Spain-Mexico-USA"
470,Pinocchio,1940,,"source rank 470; Sharpsteen, Ben & Hamilton Luske; Fantasy-Family-Animation; USA"
474,The Dead,1987,,"source rank 474; Huston, John; Drama; USA"
478,Elephant,2003,,"source rank 478; Van Sant, Gus; Drama; USA"
479,Wagon Master,1950,,"source rank 479; Ford, John; Western; USA"
482,High Noon,1952,,"source rank 482; Zinnemann, Fred; Western; USA"
483,To Kill a Mockingbird,1962,,"source rank 483; Mulligan, Robert; Drama-Crime; USA"
484,Talk to Her,2002,,"source rank 484; Almodóvar, Pedro; Drama-Mystery-Romance; Spain-USA"
487,"Steamboat Bill, Jr.",1928,,"source rank 487; Keaton, Buster & Charles Reisner; Comedy-Adventure; USA"
489,Five Easy Pieces,1970,,"source rank 489; Rafelson, Bob; Drama; USA"
490,The Palm Beach Story,1942,,"source rank 490; Sturges, Preston; Romance-Comedy; USA"
492,Fight Club,1999,,"source rank 492; Fincher, David; Drama; USA-Germany"
496,Zama,2017,,"source rank 496; Martel, Lucrecia; Drama-History; Argentina-Brazil-Spain-Dominican Republic-France-Netherlands-Mexico-Switzerland-USA-Portugal-Lebanon"
498,Children of Men,2006,,"source rank 498; Cuarón, Alfonso; Drama-Science Fiction-Thriller; USA-UK"
499,Reservoir Dogs,1992,,"source rank 499; Tarantino, Quentin; Drama-Crime-Thriller; USA"
