rank,title,year,tmdb_id,notes
108,The Long Voyage Home,1940,52859,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
109,Our Town,1940,23283,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
110,The Philadelphia Story,1940,981,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
111,How Green Was My Valley,1941,43266,Academy Award for Best Picture winner; film year 1941; 14th ceremony; source Wikipedia/Academy table
112,Blossoms in the Dust,1941,84087,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
113,Citizen Kane,1941,15,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
114,Here Comes Mr. Jordan,1941,38914,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
115,Hold Back the Dawn,1941,51395,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
116,The Little Foxes,1941,43802,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
117,The Maltese Falcon,1941,963,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
118,One Foot in Heaven,1941,84086,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
119,Sergeant York,1941,16442,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
120,Suspicion,1941,11462,Academy Award for Best Picture nominee; film year 1941; 14th ceremony; source Wikipedia/Academy table
121,Mrs. Miniver,1942,27367,Academy Award for Best Picture winner; film year 1942; 15th ceremony; source Wikipedia/Academy table
122,49th Parallel,1942,21735,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
123,Kings Row,1942,53779,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
124,The Magnificent Ambersons,1942,965,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
125,The Pied Piper,1942,84085,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
126,The Pride of the Yankees,1942,19140,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
127,Random Harvest,1942,22387,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
128,The Talk of the Town,1942,23159,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
129,Wake Island,1942,43786,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
130,Yankee Doodle Dandy,1942,3087,Academy Award for Best Picture nominee; film year 1942; 15th ceremony; source Wikipedia/Academy table
131,Casablanca,1943,289,Academy Award for Best Picture winner; film year 1943; 16th ceremony; source Wikipedia/Academy table
132,For Whom the Bell Tolls,1943,27854,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
133,Heaven Can Wait,1943,18727,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
134,The Human Comedy,1943,48993,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
135,In Which We Serve,1943,28093,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
136,Madame Curie,1943,37631,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
137,The More the Merrier,1943,80616,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
138,The Ox-Bow Incident,1943,980,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
139,The Song of Bernadette,1943,43516,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
140,Watch on the Rhine,1943,68440,Academy Award for Best Picture nominee; film year 1943; 16th ceremony; source Wikipedia/Academy table
141,Going My Way,1944,17661,Academy Award for Best Picture winner; film year 1944; 17th ceremony; source Wikipedia/Academy table
142,Double Indemnity,1944,996,Academy Award for Best Picture nominee; film year 1944; 17th ceremony; source Wikipedia/Academy table
143,Gaslight,1944,13528,Academy Award for Best Picture nominee; film year 1944; 17th ceremony; source Wikipedia/Academy table
144,Since You Went Away,1944,42401,Academy Award for Best Picture nominee; film year 1944; 17th ceremony; source Wikipedia/Academy table
145,Wilson,1944,84084,Academy Award for Best Picture nominee; film year 1944; 17th ceremony; source Wikipedia/Academy table
146,The Lost Weekend,1945,28580,Academy Award for Best Picture winner; film year 1945; 18th ceremony; source Wikipedia/Academy table
147,Anchors Aweigh,1945,17889,Academy Award for Best Picture nominee; film year 1945; 18th ceremony; source Wikipedia/Academy table
148,The Bells of St. Mary's,1945,32430,Academy Award for Best Picture nominee; film year 1945; 18th ceremony; source Wikipedia/Academy table
149,Mildred Pierce,1945,3309,Academy Award for Best Picture nominee; film year 1945; 18th ceremony; source Wikipedia/Academy table
150,Spellbound,1945,4174,Academy Award for Best Picture nominee; film year 1945; 18th ceremony; source Wikipedia/Academy table
151,The Best Years of Our Lives,1946,887,Academy Award for Best Picture winner; film year 1946; 19th ceremony; source Wikipedia/Academy table
152,Henry V,1946,22638,Academy Award for Best Picture nominee; film year 1946; 19th ceremony; source Wikipedia/Academy table
153,It's a Wonderful Life,1946,1585,Academy Award for Best Picture nominee; film year 1946; 19th ceremony; source Wikipedia/Academy table
154,The Razor's Edge,1946,56135,Academy Award for Best Picture nominee; film year 1946; 19th ceremony; source Wikipedia/Academy table
155,The Yearling,1946,19049,Academy Award for Best Picture nominee; film year 1946; 19th ceremony; source Wikipedia/Academy table
156,Gentleman's Agreement,1947,33667,Academy Award for Best Picture winner; film year 1947; 20th ceremony; source Wikipedia/Academy table
157,The Bishop's Wife,1947,19490,Academy Award for Best Picture nominee; film year 1947; 20th ceremony; source Wikipedia/Academy table
158,Crossfire,1947,28120,Academy Award for Best Picture nominee; film year 1947; 20th ceremony; source Wikipedia/Academy table
159,Great Expectations,1947,14320,Academy Award for Best Picture nominee; film year 1947; 20th ceremony; source Wikipedia/Academy table
160,Miracle on 34th Street,1947,11881,Academy Award for Best Picture nominee; film year 1947; 20th ceremony; source Wikipedia/Academy table
161,Hamlet,1948,23383,Academy Award for Best Picture winner; film year 1948; 21st ceremony; source Wikipedia/Academy table
162,Johnny Belinda,1948,62000,Academy Award for Best Picture nominee; film year 1948; 21st ceremony; source Wikipedia/Academy table
163,The Red Shoes,1948,19542,Academy Award for Best Picture nominee; film year 1948; 21st ceremony; source Wikipedia/Academy table
164,The Snake Pit,1948,62694,Academy Award for Best Picture nominee; film year 1948; 21st ceremony; source Wikipedia/Academy table
165,The Treasure of the Sierra Madre,1948,3090,Academy Award for Best Picture nominee; film year 1948; 21st ceremony; source Wikipedia/Academy table
166,All the King's Men,1949,25430,Academy Award for Best Picture winner; film year 1949; 22nd ceremony; source Wikipedia/Academy table
167,Battleground,1949,31623,Academy Award for Best Picture nominee; film year 1949; 22nd ceremony; source Wikipedia/Academy table
168,The Heiress,1949,28571,Academy Award for Best Picture nominee; film year 1949; 22nd ceremony; source Wikipedia/Academy table
169,A Letter to Three Wives,1949,45578,Academy Award for Best Picture nominee; film year 1949; 22nd ceremony; source Wikipedia/Academy table
170,Twelve O'Clock High,1949,15497,Academy Award for Best Picture nominee; film year 1949; 22nd ceremony; source Wikipedia/Academy table
171,All About Eve,1950,705,Academy Award for Best Picture winner; film year 1950; 23rd ceremony; source Wikipedia/Academy table
172,Born Yesterday,1950,24481,Academy Award for Best Picture nominee; film year 1950; 23rd ceremony; source Wikipedia/Academy table
173,Father of the Bride,1950,20758,Academy Award for Best Picture nominee; film year 1950; 23rd ceremony; source Wikipedia/Academy table
174,King Solomon's Mines,1950,43388,Academy Award for Best Picture nominee; film year 1950; 23rd ceremony; source Wikipedia/Academy table
175,Sunset Boulevard,1950,599,Academy Award for Best Picture nominee; film year 1950; 23rd ceremony; source Wikipedia/Academy table
176,An American in Paris,1951,2769,Academy Award for Best Picture winner; film year 1951; 24th ceremony; source Wikipedia/Academy table
177,Decision Before Dawn,1951,4461,Academy Award for Best Picture nominee; film year 1951; 24th ceremony; source Wikipedia/Academy table
178,A Place in the Sun,1951,25673,Academy Award for Best Picture nominee; film year 1951; 24th ceremony; source Wikipedia/Academy table
179,Quo Vadis,1951,11620,Academy Award for Best Picture nominee; film year 1951; 24th ceremony; source Wikipedia/Academy table
180,A Streetcar Named Desire,1951,702,Academy Award for Best Picture nominee; film year 1951; 24th ceremony; source Wikipedia/Academy table
181,The Greatest Show on Earth,1952,27191,Academy Award for Best Picture winner; film year 1952; 25th ceremony; source Wikipedia/Academy table
182,High Noon,1952,288,Academy Award for Best Picture nominee; film year 1952; 25th ceremony; source Wikipedia/Academy table
183,Ivanhoe,1952,26175,Academy Award for Best Picture nominee; film year 1952; 25th ceremony; source Wikipedia/Academy table
184,Moulin Rouge,1952,10910,Academy Award for Best Picture nominee; film year 1952; 25th ceremony; source Wikipedia/Academy table
185,The Quiet Man,1952,3109,Academy Award for Best Picture nominee; film year 1952; 25th ceremony; source Wikipedia/Academy table
186,From Here to Eternity,1953,11426,Academy Award for Best Picture winner; film year 1953; 26th ceremony; source Wikipedia/Academy table
187,Julius Caesar,1953,18019,Academy Award for Best Picture nominee; film year 1953; 26th ceremony; source Wikipedia/Academy table
